timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2023-12-31T00:00:00.000Z,2023-12-31T23:59:59.999Z,2023-12-31T09:40:00.000Z,2023-12-31T22:55:00.000Z,2781,0.090145555,0.09081604,0.08897053,0.089471564,259196255.2,12746626943,2023-12-31T23:59:59.999Z
2023-12-30T00:00:00.000Z,2023-12-30T23:59:59.999Z,2023-12-30T01:37:00.000Z,2023-12-30T09:46:00.000Z,2781,0.091031022,0.091400881,0.089593421,0.090148226,252403425.5,12841822731,2023-12-30T23:59:59.999Z
2023-12-29T00:00:00.000Z,2023-12-29T23:59:59.999Z,2023-12-29T15:02:00.000Z,2023-12-29T22:23:00.000Z,2781,0.091882873,0.093014395,0.089667245,0.091037909,407349878.3,12967313746,2023-12-29T23:59:59.999Z
2023-12-28T00:00:00.000Z,2023-12-28T23:59:59.999Z,2023-12-28T03:55:00.000Z,2023-12-28T16:05:00.000Z,2781,0.09359493,0.094900568,0.091377265,0.091884454,464569016.3,13086647553,2023-12-28T23:59:59.999Z
2023-12-27T00:00:00.000Z,2023-12-27T23:59:59.999Z,2023-12-27T22:25:00.000Z,2023-12-27T03:34:00.000Z,2781,0.091354016,0.093864098,0.089921086,0.093578526,423259087.7,13326657010,2023-12-27T23:59:59.999Z
2023-12-26T00:00:00.000Z,2023-12-26T23:59:59.999Z,2023-12-26T00:00:00.000Z,2023-12-26T17:43:00.000Z,2781,0.094446771,0.094446771,0.089121576,0.091356452,567640364.7,13008965712,2023-12-26T23:59:59.999Z
2023-12-25T00:00:00.000Z,2023-12-25T23:59:59.999Z,2023-12-25T18:37:00.000Z,2023-12-25T00:46:00.000Z,2781,0.091902837,0.095166554,0.091540329,0.094449052,435910883.7,13448088300,2023-12-25T23:59:59.999Z
2023-12-24T00:00:00.000Z,2023-12-24T23:59:59.999Z,2023-12-24T14:19:00.000Z,2023-12-24T22:52:00.000Z,2781,0.093578846,0.094801936,0.091347772,0.091895153,566323407.3,13083212777,2023-12-24T23:59:59.999Z
2023-12-23T00:00:00.000Z,2023-12-23T23:59:59.999Z,2023-12-23T00:00:00.000Z,2023-12-23T04:07:00.000Z,2781,0.095200354,0.095200354,0.092426698,0.093562417,357245325.6,13319307694,2023-12-23T23:59:59.999Z
2023-12-22T00:00:00.000Z,2023-12-22T23:59:59.999Z,2023-12-22T01:16:00.000Z,2023-12-22T07:46:00.000Z,2781,0.095006899,0.095493516,0.092331324,0.095198468,622353150.1,13550916166,2023-12-22T23:59:59.999Z
